Address,Email Address,License Validity,Name,Official Representative,Status,Tel No/s,Website
927 3RD FLR APACIBLE ST ERMITA MANILA ,,4/5/1992 to 4/4/1994,JOB MILES TRADING & GENERAL SERVICES  Service Contractor,MS MELECIA M TAPIA,Delisted,584913 / 592618,
"3/F SPC BLDG MIRANDA EXT PAMPANGA ANGELES CITY, PAMPANGA",NA,10/1/2010 to 3/30/2011,JOB OPPORTUNITIES FOR SKILLED WORKERS INC Private Employment Agency,FREDIE U. SO,Delisted,045-8882213,NA
"U201 ERISHA CONDO 1142 P OCAMPO COR DIAN MALATE, MANILA",None,6/3/2007 to 12/2/2007,"JOB STATION COMPANY, INC. Private Employment Agency",MS AGNES V GIMENEZ,Delisted,5281991/5244788,None
"6/F, BDO BLDG, 707 T.M. KALAW COR. CHURRUCA STS ERMITA, MANILA",joblane2003@yahoo.com,9/10/2015 to 9/9/2019,"JOBLANE INTERNATIONAL MANPOWER SERVICES, INC. Private Employment Agency",JEANYBEL MC CARTHY,Valid License,7086038,www.joblane.net
2F MILANDRE CTR. 982 QUEZON AVE. QUEZON CITY ,,3/8/1998 to 3/6/2000,JOBLINK INTERNATIONAL INCORPORATED  Service Contractor,EVELYN M ARREO,Delisted,3736937 / 3736939,
"2F&3F GOD IS GOOD BLDG #71 3RD ST KALOOCAN CITY GRACE PARK EAST, CALOOCAN CITY",NA,9/13/2007 to 9/13/2008,JOBMATCH INTERNATIONAL PLACEMENT INCORPORATED Private Employment Agency,MARIA SOCORRO M. MALITAO,Cancelled,3670978/3629741-43,NA
13F U-1303&1304 THE ONE EXEC OFC BDG 5 WEST AVE QUEZON CITY,NA,8/11/2006 to 8/11/2010,JOBPLUS INTERNATIONAL MANPOWER CORP Private Employment Agency,MARICHU N. VIVAS,Cancelled,4138886/3765183,NA
3F OANDASAN BLDG 507 GEN MALVAR ST MALATE MLA ,,8/28/1996 to 8/27/1998,JOBS INTERNATIONAL CORPORATION  Private Employment Agency,MS RHODORA R SULIT,Delisted,5260775,
5F KRISAMBET BDG 1015 ZOBEL ROXAS ST SINGALONG MANILA,JOBOVERSEASNOBLE@YAHOO.COM,3/24/2006 to 3/24/2010,JOBS OVERSEAS NOBLE EMPLOYMENT CORP Private Employment Agency,ELIZABETH Q. ALVINA,Cancelled,4043250 TELEFAX,NA
"RM.3-A SINAGOGA BLDG 481 SINAGOGA ST MALATE, MANILA",,6/25/1996 to 10/27/1997,JOBS WORLDWIDE EXPRESS INC (VHARN INT`L PLACEMENT CORP) Private Employment Agency,NAIRA PANGANDAMAN,Delisted,5253044,
"U1102,1103 &1109 ONE EXECUTIVE BLDG NO.5 WEST AVE QUEZON CITY",career@jobsconnect.com.ph,5/7/2014 to 5/7/2018,JOBSCONNECT MANPOWER AGENCY INC Private Employment Agency,ELOISA DEL PRADO-BAYANI,Valid License,7093300/ 3734221/ 09266730028/ 09477804609,www.jobsconnect.com.ph
"U-2B,2F, D'METYANGS BLG, 5064 P.BURGOS COR GUANZON POBLACION, MAKATI",info@jobscontaq.com,10/26/2017 to 10/25/2021,JOBSCONTAQ MANPOWER CORP Private Employment Agency,MARIA CARLAH T DORAN,Valid License,890-0719/ 09158714102,www.jobscontaq.com
"UNIT E-1,5F,DOMINION BLG, 833 A. ARNAIZ AVENUE MAKATI",jb@jobsglobal.com,8/17/2015 to 8/16/2019,JOBSGLOBAL.COM EMPLOYMENT SERVICES INC (FORMERLY HYACINTH PROMOTIONS INC) Private Employment Agency,CHRISTOPHER O. GAMELLA,Valid License,4035065 / 09771540207,www.jobsglobal.com
"UNIT 1, 2F, ROCES BLDG, NO. 7 PIONEER STREET MANDALUYONG",mjq.jobsmanila@yahoo.com,11/29/2015 to 11/28/2019,JOBSMANILA INTERNATIONAL INC (FORMERLY ACHICA INTERNATIONAL PLACEMENT AGENC Private Employment Agency,MARITES JOAN G. QUEZON,Valid License,6343322 / 6343225 / 09163194889 / 09228343411,www.JobsMNL.com
"26&28 3/F VILLA ORTIGAS II GRANADA AVE QUEZON CITY VALENCIA, QUEZON CITY",JOBSOURCEINC@YAHOO.COM,6/27/2008 to 6/27/2009,JOBSOURCE INC Private Employment Agency,DIANA Y. ONG,Delisted,7262923/7233741,NA
"3F & 4F, ACV BLDG, 1862 REMEDIOS COR SAN MARCELINO MALATE, MANILA",jobstar.intl@gmail.com/operation@jobstarph.com,11/11/2014 to 11/10/2018,JOBSTAR INTERNATIONAL MANPOWER SERVICES Private Employment Agency,EMILIO N. MORTERA JR.,Cancelled,5235525 / 09178518248,www.jobstarph.com
"RM.405 ERMITA BLG.,ARQUIZA COR. ALHAMBRA STS. ERMITA, MANILA",NA,9/19/2006 to 9/19/2007,JOBTRADE INTERNATIONAL MANPOWER SERVICES Private Employment Agency,VIRGINIA L. SANCHEZ,Cancelled,5257120 telefax,NA
16 IRID ST CUBAO QUEZON CITY ,licor_prom@yahoo.com,11/14/2003 to 11/13/2007,JOE`S INTERNATIONAL CORPORATION  Service Contractor,MS JOSEFINA NORCIO,Delisted,7233403 / 7233404,
"UNITS 1 & 2 (2ND LEVEL), THE RAFAEL YU BLDG, 77 GE CEBU",johnmauriceinternational@yahoo.com,8/23/2014 to 8/22/2018,JOHN MAURICE INTERNATIONAL INC Service Contractor,EMELYN D RODULFA,Valid License,(032) 2361925/2544873/5213388/5217234/5214904,None
"S-1 & 2, 1036-1038 J. NAKPIL  MALATE, MANILA",None,5/1/2002 to 4/30/2004,JOIN INTERNATIONAL CORP Private Employment Agency,ELIZABETH T ALAÃ‘ON,Cancelled,5240020/19,None
3F DMC BLDG. 310 EDANG ST. PASAY CITY ,,12/5/2000 to 11/27/2002,"JOMA JOB OVERSEAS MANPOWER AGENCY, INC.  Private Employment Agency",JOEL DAYRIT,Delisted,8533840 / 3604100,
"SUITE 604 JALANDONI BLDG 1444 A.MABINI ST ERMITA, MANILA",,1/1/1950 to 7/25/1986,JOMO MARITIME MANAGEMENT INC  Manning Agency,MR RENIE M MODELO,Forever Banned,,
"U1 & U2 (GF), F.BENITEZ TOWN HOMES 1695 F.BENITEZ  MALATE, MANILA",jones_intl@pldtdsl.net,2/10/2015 to 2/9/2019,JONES INT`L MANP. SVCS. INC.(FOR. JONES SPCL MNGT TRDG & MANP SVCS) Private Employment Agency,MR EDWARD G CUE,Valid License,5225156 /5227006/5253219,None
"3F & 4F, THRIFTY REALTY BLG, 1927 SAN MARCELINO ST MALATE, MANILA",jopmancorp@yahoo.com,1/8/2015 to 1/7/2019,JOPMAN CORPORATION (FOR EXPLICIT CORP) Private Employment Agency,MARIA CARMENCITA N CUVIN,Valid License,5254661 OR 62 /5254666/ 0920-9582016,None
5/F L & S BLDG 1500 ROXAS BLVD ERMITA MANILA ,,7/3/1996 to 6/22/1998,JOSCAR SHIPPING COMPANY INC  Philippine Registered Vessel,MR VICTORINO A BASCO,Expired,,
"G/F & 2/F, MI TESORO FAMILIA BLG, 4334 GEN. TINIO  BANGKAL, MAKATI",joselineintl@gmail.com/ joseline@jimc.asia,8/7/2014 to 8/6/2018,JOSELINE INTERNATIONAL MANPOWER CORPORATION (FORMERLY PARAS ENTERPRISES) Private Employment Agency,,Valid License,4581067,www.joselineintlmanpower.com.ph
"RM 202, KBC BLG, 353 J.P. RIZAL ST, BGY OLYMPIA MAKATI",jovialagency@gmail.com,12/29/2007 to 12/28/2011,JOVIAL PROMOTION & PLACEMENT AGENCY Private Employment Agency,JUDE S. JUNSAY,Cancelled,3924556,None
"4443 CALATAGAN ST.,PALANAN MAKATI CITY ",None,4/8/2002 to 9/4/2003,JOVIC INTERNATIONAL PROMOTION Private Employment Agency,VICENTE T BANZUELA,Delisted,8333856 / 7285722,None
"SUITE 602, BEL-AIR APT 1020 ROXAS BLVD ERMITA, MANILA",jims_manpower@yahoo.com,11/17/2011 to 11/16/2015,JOVINERIA INTERNATIONAL MANPOWER SERVICES Private Employment Agency,JOSEPHINE R. SALAZAR,Cancelled,5241465/4845851,NA
3161 V.MAPA ST STA.MESA MANILA ,,6/2/1996 to 6/1/1998,JP LUNA INTERNATIONAL BUSINESS VENTURE  Private Employment Agency,MR JUAN P LUNA,Delisted,7138320,
"1977 A.LINAO STREET MALATE, MANILA",admin@jphilmarine.com,11/28/2016 to 11/27/2020,"J-PHIL MARINE, INCORPORATED Manning Agency",EULALIO C. CANDAVA,Valid License,5227947/ 3030179-81,None
"ROOM 305 GEDISCO TERRACE 1148 ROXAS BOULEVARD ERMITA, MANILA",info.jpm88@gmail.com,10/5/2017 to 10/5/2019,JPM88 INTERNATIONAL MANPOWER SERVICES CO Private Employment Agency,LJUBOMIR C TAMAYO,Valid License,(02) 5855961 / 09955119618 / 09086380938,jpm88manpower.com
"UA2 & F,GF,ECHELON TOWER, 2100 A. MABINI ST MALATE, MANILA",jpsrotana@yahoo.com,8/11/2014 to 8/10/2018,JPS (JOHN PAUL SEE) INTERNATIONAL RECRUITMENT AGENCY CORP Private Employment Agency,DANIEL I. CUEVAS,Cancelled,7947892/ 7947891 / 09975248184,www.jpsrecruitment.com.ph
"S-101,302,306 RAMON LIWAG BLDG 1258 BATANGAS ST MK ",,11/6/1991 to 11/6/1995,JR MANPOWER AND DEVELOPMENT SERVICES COMPANY Service Contractor,MR RENATO B PARAS,Delisted,852373 / 851874,
2F RMS 9-10 RENADAR BLDG 1360 L.GUINTO ERMITA MLA. ,,3/12/1996 to 9/11/1996,JRP MANPOWER SERVICES  Private Employment Agency,JANET PARRENO,Delisted,,
RM.303-305 TRADE CTR BLDG P.FAURA ERMITA MLA ,,9/14/1994 to 3/14/1995,JRS PLACEMENT SERVICES INC  Private Employment Agency,MR EDROLEEN P SANTOS,Delisted,5210459 / 5210461,
"2646-H TAFT AVE MALATE, MANILA",info@jrtmagica.com/jrtmagica_intl@hotmail.com,5/7/2015 to 5/6/2019,JRT MAGICA INTERNATIONAL PLACEMENT AND GENERAL SERVICES CORPORATION Private Employment Agency,MA. CONCEPCION T. CODOG,Valid License,5260031/ 5232023/ 09228375309/ 09088144112,www.jrtmagica.com
"GF&2F JS CON BLG,423 MAGALLANES & BEATERIO, INTRA INTRAMUROS, MANILA",jsrecruitment@jscon.com.ph,3/8/2016 to 3/7/2020,JS CONTRACTOR INCORPORATED Construction Contractor,MS MARY JEAN BORRA,Valid License,5277955 TO 57 / 5277958 to 59 / 09188038534,www.jscon.com.ph
"2F, 3F & 4/F, IBAÃ‘EZ BLDG, 962-968 PRES QUIRINO AV MALATE, MANILA",jscglobalrecruitment@gmail.com,3/6/2014 to 3/6/2018,JSC GLOBAL RECRUITMENT SERVICES INC. Private Employment Agency,JAIME S. CINCO,Valid License,2473126/3104519/ 3109917/ 09178871439/ 09998838179,NA
"GF&2F DON JOSE BLDG 533 A FLORES ST ERMITA, MANILA",None,10/17/2003 to 10/16/2007,JSD INTERNATIONAL EMPLOYMENT AGENCY CORPORATION Private Employment Agency,ROSALINDA S DAVID,Cancelled,5214250 / 4006602,None
"GF & 2F, 2011 A. MABINI STREET MALATE, MANILA",jslinterplacementservices@yahoo.com,5/1/2015 to 4/30/2019,JSL INTERPLACEMENT SERVICES Private Employment Agency,JULIO M SALAZAR,Valid License,891-6576/251-4420/ 09399307044,www.jslinterplacement.com
"S603 6F PARC HOUSE II CONDO 21 EDSA GUADALUPE NUEVO, MAKATI",None,5/28/2002 to 5/27/2004,JSM INTERNATIONAL MANPOWER GROUP INC Private Employment Agency,JUN S MANGUNDAYAO,Delisted,8817864,None
1786-E TAFT AVE PASAY CITY ,,12/6/1996 to 12/5/1998,JSS INDOCHINA CORPORATION (WE CARE PERSONNEL SVCS CORP ) Private Employment Agency,PABLO R DY JR,Delisted,5124636 / 866919,
1989 LEON GUINTO ST MALATE MANILA ,,to 8/24/1986,JT SKILLED LABOR CENTER  Private Employment Agency,MR JOSE T TAPANG,Forever Banned,594638 / 571683,
"RMS 603 & 708, DOÃ‘A FELISA SYJUCO BLDG, 1872 REMED MALATE, MANILA",admin@jtcmanpower.com,2/1/2016 to 1/31/2020,"JTC INTERNATIONAL MANPOWER SERVICES, INC Private Employment Agency",CATHERINE A VERGARA,Valid License,5541356/ 5541437/ 5541404,jtcmanpower.com
SUITE 5 MIDLAND PLAZA HOTEL M.ADRIATICO ERMITA ,,to 10/9/1985,JTK MANPOWER EXPERTS  Private Employment Agency,MR VIRGILIO KAWACHI,Cancelled,8313517,
"5F, 1377 A MABINI STREET CORNER STA MONICA ERMITA, MANILA",juansmartworkers@gmail.com,11/22/2016 to 11/22/2018,JUAN SMART MANPOWER PHILS CO Private Employment Agency,AMELITA E NUGUID,Valid License,3106232 / 09276677468,None
27 ASTER ST WEST FAIRVIEW QUEZON CITY ,,to 10/26/1985,JUNCARLO INTERNATIONAL SERVICES  Service Contractor,MS GUAT LEE N GANAN,Cancelled,900182,
S-602 L & S BLDG 1414 ROXAS BLVD MANILA ,,4/19/1998 to 4/18/2000,JUNIPER SHIPPING COMPANY INC  Philippine Registered Vessel,MS ANGELITA T RIVERA,Inactive,5219744 / 5219567,
1049 METROPOLITAN AVE MAKATI METRO MANILA ,,to 4/26/1984,JUPITER CONSTRUCTION CORPORATION  Construction Contractor,MRS AMALIA IKDAL,Inactive,859258 / 859314,
* NO. 18 MONTCLAIR ST. MERVILLE PARK SUBD. PQUE ,,3/25/2002 to 3/23/2004,JUPITER MARITIME CORP  Manning Agency,CAPT AMADO V ROMILLO,Delisted,5273642 / 5273637,
G/F MARBELLA II BLDG 2071 ROXAS BLVD MANILA ,,7/14/1992 to 7/13/1994,JURONG ENGINEERING PHILS INC  Service Contractor,MR RAYMOND J GARCIA,Delisted,5217311 / 5217312,
"706 FEDMAN BLDG SALCEDO ST LEGASPI VILLAGE, MAKATI",JUSERR@BROLINE.COM,9/29/2003 to 9/28/2007,JUSERR INTERNATIONAL MANPOWER SERVICES Private Employment Agency,REYNALDO M SAN PEDRO,Cancelled,8924028/ 8924049,WWW.JUSERR.4T.COM
"NO. 8A AGNO STREET, STA. MESA HEIGHTS QUEZON CITY",justjobinternationalcorp@gmail.com,4/17/2012 to 4/16/2016,JUSTJOB INTERNATIONAL CORP (FORMERLY: ORACLE MANPOWER AGENCY) Private Employment Agency,HORACIO D. LIM,Cancelled,749-5266/743-7718/ 516-3894,None
2F & 3F GOTHARD BLDG 2127 MABINI ST MALATE MLA ,,10/26/1988 to 10/26/1990,JVD PLACEMENT AGENCY  Private Employment Agency,JOSEFINA V VERGEL DE DIOS,Cancelled,571352,
"301-304&401-404 LETICIA BLG,1804 TAFT COR NAKPIL MALATE, MANILA",jvrplacement@gmail.com/annequiza2@gmail.com,6/24/2015 to 6/23/2019,"JVR PLACEMENT COMPANY, INC. Service Contractor",ANNELYN M QUIZA,Valid License,310-0095,www.jvrplacement.net
2/F ANSON ARCADE PASAY ROAD MAKATI METRO MANILA ,,to 6/4/1983,JY SIBUG CONSTRUCTION  Construction Contractor,ENGR JOSE Y SIBUG,Cancelled,892627,
GERRY SO BLDG 8203 DR A SANTOS AVE BRGY SAN ISIDRO PARAÃ‘AQUE,None,1/18/2018 to 1/18/2020,JZPT GLOBAL MANPOWER SERVICES Private Employment Agency,JONATHAN P TACAD,Valid License,,None
5/F ML BLDG 47 KAMIAS ST QC ,,to 5/30/1986,K & S INTERNATIONAL SERVICES  Private Employment Agency,MS ANITA F AMAGMA,Forever Banned,5217057,
"U 2&3 A FRANCISCO GOLD COND I 784 EDSA KAMIAS, QUEZON CITY",None,4/14/2008 to 10/13/2008,K AND S RECRUITMENT/PLACEMENT AGENCY Private Employment Agency,LUIS G CENDANA,Cancelled,4337983,None
"S 409 & 411, 4F, ERMITA CTR BLG, 1350 ROXAS BLVD ERMITA, MANILA",KGNPINT@HOTMAIL.COM,7/5/2011 to 7/4/2015,"K G & P INTERNATIONAL SERVICES, INC. Private Employment Agency",MR DIONISIO A TIZON,Cancelled,3536022 (TELEFAX),None
1042 SAN MARCELINO ST ERMITA MANILA ,,to 5/21/1988,K L SHIPPING AGENCIES INC  Manning Agency,MS TARCIANA H SANTOS,Delisted,571938,
KM.7 MIRAMAR HOUSE DOMESTIC ROAD PASAY CITY ,,6/11/1980 to 10/15/1992,K SERVICES COMPANY  Private Employment Agency,MR HERNANDO G IMPERIAL,Delisted,8312081 / 8312647,
U-301 RAMAN CONDO 1130 P.TAMO MAKATI CITY ,,7/7/1994 to 7/7/1996,K.G.W. INTERNATIONAL AGENCY INC.  Private Employment Agency,MS AMELITA O GAGAN,Delisted,8945781 / 8945731,
"GF & 2F ZL BDG, 834 E, ZOBEL COR. J.P. RIZAL STS MAKATI",kvinternational2003@yahoo.com,2/8/2007 to 2/7/2011,K.V. INTERNATIONAL MANPOWER SERVICES INC Private Employment Agency,ALICE U VILLAMOR,Delisted,8704900/7582940,None
280-A UNIT 1 EL GRANDE AVE BF HOMES PARAÃ‘AQUE,JOSEPHUS_MACADAMIA@YAHOO.COM,6/19/2012 to 6/18/2016,KABAYAN KO OVERSEAS MANPOWER PLACEMENT Private Employment Agency,JOSEPHUS M. MACADAMIA,Cancelled,8204879,NA
"DELGADO BLDG BONIFACIO DRIVE PORT AREA, MANILA",,1/1/1950 to 1/1/1984,KAGITINGAN SHIPPING CORPORATION  Philippine Registered Vessel,MR CESAR P CARANDANG,Delisted,478541 / 478546,
"2ND FLOOR SHUDON BUILDING SAAC I BUAYA LAPU-LAPU CITY (OPON), CEBU",None,12/15/2016 to 12/15/2018,KAI KONNECTIONS INTERNATIONAL MANPOWER SERVICES INC Private Employment Agency,JUVY G IKEUCHI,Valid License,3415301,None
"U3,4&6 RUBLON BUS. CTR ORTIGAS AVE EXT CAINTA RIZA ",,7/8/2003 to 7/7/2007,KAIZEN ADMINISTRATIVE AND MANPOWER SERVICES INC. Private Employment Agency,MR CRISLETON R ESCONDO,Cancelled,6553126 / 6569045,
NO.1 ANNEX ABLAZA BLDG 117 E.RODRIGUEZ AVE QUEZON CITY,,10/5/1994 to 10/4/1996,KALANTAR PHILIPPINES  Private Employment Agency,MS VICTORIA L ALCALA,Delisted,6418944 / 9608521,
479 QUIRINO AVE BACLARAN PARANAQUE M.M. ,,to 6/28/1985,KALMAR CONSTRUCTION  Construction Contractor,MS ADELAIDA KALUBIRAN,Forever Banned,,
"1/F (LW), U-D,2/F (LW) & 3/F (RW) BELEN BLDG, 1787 MALATE, MANILA",maggie_lee_143@yahoo.com,4/30/2012 to 4/29/2016,KAN-YA INTERNATIONAL SERVICES CORP. Private Employment Agency,HOMER LAI LEE CHANG,Cancelled,516-3471/4005846,www.kan-yainternational.com
1/F AND 2/F 2275 F B HARRISON STREET PASAY CITY,kaojiinternational@gmail.com,2/28/2017 to 2/28/2019,KAOJI INTERNATIONAL GENERAL SERVICES CO Private Employment Agency,MELLANIE MANUEL-NAKAMURA,Valid License,8050473 / 099489203549,N/A
"2F KALAYAAN BLDG SLCEDO COR DE LA ROSA SALCEDO VILLAGE, MAKATI",None,8/31/2004 to 8/20/2007,KARA SHIPPING INC (FOR SINGA BULK CARRIERS INC) Philippine Registered Vessel,OLIMPIO AMPO JR,Expired,,None
"M-1557 LUZ HENSON BLDG, A. MABINI STREET ERMITA, MANILA",None,4/21/2008 to 4/20/2012,KARY INTERNATIONAL INC (FORMERLY GOLDEN GRAIN & GEN SERVICES & PROM CORP) Service Contractor,ICASIANO DELA ROSA LIBAO,Cancelled,3029175,None
9TH FLR SORIANO BLDG AYALA AVE MAKATI METRO MANILA ,,to,KAYAN RIVER TIMBER PRODUCTS  Service Contractor,KDM ASUNCION,Cancelled,,
"UNIT 709 7/F PRESTIGE TOWER EMERALD AVE ORTIGAS, PASIG CITY",None,9/23/2005 to 9/23/2005,KCI WORLDWIDE MANNING CORPORATION Manning Agency,ANGEL S RACOMA,Delisted,6387964/6371582 loc 24,None
"UNIT 102, TAFT OFFICE CENTER, 1986 TAFT AVENUE PASAY CITY",kcm@kcmmanpower.com,12/1/2007 to 11/30/2011,KCM INTERNATIONAL SERVICES & PLACEMENT AGENCY INC(FOR DGY INT`L SHIPTRADE) Private Employment Agency,CAROLINA YUTUC MATSUDA,Delisted,5252217,www.kcmmanpower.com
"RM 203-A, LBH BLDG, 1431 A. MABINI ST ERMITA, MANILA",pampofc@yahoo.com,10/30/2006 to 10/30/2010,KDC PLACEMENT AGENCY Private Employment Agency,ROQUE S. FADO,Cancelled,5362391/3828392,NA
"U-D&U-E 2/F BUSTAMANTE BLDG 144 DNA SOLEDAD AVE PARAÃ‘AQUE CITY, PARAÃ‘AQUE",NA,11/24/2010 to 5/23/2011,KDE OVERSEAS MANPOWER SERVICES CORP Private Employment Agency,JULITA L. VILLAREAL,Delisted,8239420/8239463,NA
"PAEZ BLDG 905 PADRE FAURA ST ERMITA, MANILA",,9/15/1986 to 9/15/1988,KELANTAN TECHNICAL MANAGEMENT AND PLACEMENT SERVICES Service Contractor,MR JOSE V MANIQUIZ JR,Forever Banned,,
"1ST & 2ND FLRS, KDL BLDG, 1461 PEDRO GIL ST PACO, MANILA",kenmorephilippines_inc@yahoo.com,8/20/2014 to 8/19/2018,KENMORE PLACEMENT INTERNATIONAL AGENCY INC FORMERLY KENMORE INTERNATIONAL P Private Employment Agency,ENGR LAILANIE L LUNA,Valid License,5244374/ 5266356/ 091751512623/ 09189648642/,www.kenmorephilippines_inc.com
"GF,6F,8/F&9F, ASEANA 2 BLG BRADCO AVE, ASEANA CITY PARAÃ‘AQUE",contact.ksi@vships.com,4/30/2017 to 4/29/2021,KESTREL SHIPPING INCORPORATED Manning Agency,KATHRYN S AGUIRRE,Valid License,8589900 / 8589918 / 8589917,www.vships.com
"3/F , SOLEMIL BLDG, 1248 J. BOCOBO STREET ERMITA, MANILA",info.keysplacement@gmail.com,9/15/2014 to 9/14/2018,"KEY`S PLACEMENT, INC. Private Employment Agency",IMELDA S ENRIQUEZ,Valid License,(02) 4843082/ 8802408/ 09175338928,www.keysplacement.com
"6/F & 7/F, RUFINO TOWER, 6784 AYALA AVE COR V.A LEGASPI VILLAGE, MAKATI",ortalani.tolledo@kgjs.no,11/26/2017 to 11/25/2025,KGJS FLEET MANAGEMENT MANILA INC (FOR WESTFLEET PHILS INC) Manning Agency,GEORGE MELJOE B FRANGE,Valid License,865-2000 / 09088686374,www.kgjs.ph
"2269 NAKAR ST SAN ANDRES, MANILA",corralnorma9@yahoo.com,7/6/2015 to 7/5/2019,KHALID INTERNATIONAL RECRUITMENT AGENCY Private Employment Agency,NORMA J CORRAL,Valid License,3532559/ 0920-5457820,None
5246 VAN BURREN ST PIO DEL PILAR MAKATI ,None,2/15/2001 to 2/15/2003,KILALA INTERNATIONAL PLACEMENT AGENCY Private Employment Agency,RONALD C SANTIAGO,Delisted,4584000/ 8870121,None
"S601 & 602, A.P. BLDG, #1563 F AGONCILLO ST MALATE, MANILA",kimobo_kips@yahoo.com.ph,3/22/2012 to 3/21/2016,"KIMOBO INTERNATIONAL PERSONNEL SERVICES, INC. Private Employment Agency",KIM SIMON C SIOSON,Cancelled,4843283/0929-2821042/0905-3026005,None
"5/F ODC INT'L PLAZA 219 SALCEDO ST MAKATI CITY LEGASPI VILLAGE, MAKATI",NA,4/1/2016 to 3/31/2018,KINDEN PHILS CORPORATION Construction Contractor,ALEX B ARREZA,Valid License,8126440,NA
"U101 1F DIONES BLDG 3709 BAUTISTA ST COR CASINO ST PALANAN, MAKATI",ksimanpowerinc@gmail.com/ksiapply@gmail.com,7/21/2014 to 7/21/2018,KING SOLOMON INTERNATIONAL GLOBAL RECRUITMENT AND MANPOWER AGENCY INC Private Employment Agency,WENDELL M. SOLOMON,Valid License,8235532 / 8321805 / 09989595943 / 09175686420,None
"U-A,GF, OSM II BLG, 1865 TAFT AVE COR REMEDIOS ST MALATE, MANILA",kingsmp01@gmail.com,3/26/2016 to 3/25/2020,KING`S MANPOWER SERVICES INC Private Employment Agency,MS EMELYN D RODULFA,Valid License,5229799,www.kingsmanpower.com
"88-C, 12TH AVENUE, CUBAO QUEZON CITY",kingdom2010@yahoo.com,5/22/2015 to 5/21/2019,KINGDOM INTERNATIONAL MANPOWER SERVICES INC (FORMERLY KINGDOM INTERNATIONAL Private Employment Agency,MILAGROS U ABUHUSSEIN,Valid License,7094029/7094028,None
*15 CALLA LILY VERGONVILLE SUB PULANG LUPA II LP ,,3/7/1999 to 3/5/2001,KINGLOON ERECTORS & NAVIGATION PHILS INC  Manning Agency,MS TARCIANA SANTOS NG,Delisted,5222454,
2646-D TAFT AVENUE MALATE MANILA ,,9/4/1998 to 9/2/2000,KINGLOON ERECTORS AND NAVIGATION PHILIPPINES INC Service Contractor,MS TARCIANA SANTOS NG,Delisted,5222454 / 5224175,
M BLISS COMM`L CENTER 1198-C VITO CRUZ EXT MAKATI ,,7/12/1986 to 9/14/1989,KINGSWAY INT`L PLACEMENT SERVICES CORP (CB LOTILLA MANPOWER CORP) Construction Contractor,MR MELGRE O GRANADA,Forever Banned,,
RM. 320 3/F PHOENIX BLDG. RECOLETOS ST. INTRAMURO ,,8/2/2001 to 8/2/2003,"KINGWOOD INTERNATIONAL MARITIME SERVICES, INC. Manning Agency",ANICETO ADLAWAN,Delisted,4050115,
"99 JASMIN COR SCT REYES STS. ROXAS DISTRICT Q.C. ROXAS DISTRICT, QUEZON CITY",None,9/12/2010 to 9/11/2014,"KIRSTEN RECRUITMENT, INC. Private Employment Agency",MARIDEE T BASCO,Delisted,(02)-709-9332,None
STE 301 GIL PRECIOSA BLG #75 TIMOG AVE QUEZON CITY,kita@pworld.net.ph,12/5/2003 to 12/4/2007,"KITA TALENT MANAGEMENT, PROMOTIONS & SERVICES INC Private Employment Agency",BENJAMIN T DE LARA,Cancelled,4167779 / 4204870,None
"RM-1 SOFRABELLE BLDG POB NORTE SAN CLEMENTE TARLAC TARLAC, TARLAC",NA,6/14/2008 to 12/13/2008,KIZUNA INTERNATIONAL RECRUITMENT SERVICES Private Employment Agency,MARIA THERESA T. RIVERA,Delisted,045-9343359,NA
"UNIT-A, 11F AND UNIT B (RW),5F VERNIDA IV BLG,128  SALCEDO VILLAGE, MAKATI",crew@kjcm.com.ph,6/19/2016 to 6/18/2020,KJCM MARITIME CORPORATION Manning Agency,ARTURO M. PACULDAR,Valid License,7515731 / 7516218 / 7516219,None
"5F,FIVE E-COM CTR, HARBOR DR, MALL OF ASIA COMPLEX PASAY CITY",crewing@klaveness.com,12/4/2015 to 12/3/2019,"KLAVENESS MARITIME AGENCY, INC. Manning Agency",CHONA L VILLANOS,Valid License,478-5133,None
"GF,#99 ILANG-ILANG ST. SALVADOR ESTATE SUCAT PARAÃ‘AQUE",None,12/27/2003 to 12/26/2007,KMG INTERNATIONAL MANPOWER CORPORATION Service Contractor,MR REYNALDO GUEVARRA,Cancelled,8251549,None
"2ND & 3RD FLOORS, THE GREGORIAN BLDG 2178 TAFT AVE MANILA",b.arcilla@ph.knutsenoas.com,5/7/2014 to 5/6/2018,KNUTSEN PHILIPPINES INC (FORMERLY NORTHERN CONFLUENCE SHIP MANAGEMENT INC) Manning Agency,BRYANT C ARCILLA,Valid License,5278556 / 09088869430,www.knutsenphilippines.com
3F THE MILE LONG BLDG AMORSOLO ST MAKATI CITY ,,to 2/8/1990,KONE MACHINERIES PHIL INC  Construction Contractor,MR ERICO S PACABA,Delisted,871295 / 852274,
"ROOM 602, GEDISCO TERRACE, 1148 ROXAS BLVD ERMITA, MANILA",KONNEXIONCANADA@YAHOO.COM,9/19/2008 to 9/19/2012,KONNEXION INTERNATIONAL MANPOWER AGENCY Private Employment Agency,MA BELEN G DELA CRUZ,Cancelled,4469434/4843181,NA
